budget,revenue,original_title,tmdb_votes,tmdb_rating,release_year,imdb_rating,imdb_votes,genres,runtime,rating_combined,budget_adj_2024,revenue_adj_2024,roi,profit_margin,on_netflix,on_hulu,on_disney,on_amazon,on_streaming,streaming_platforms
81000000.0,403802136.0,Kingsman: The Secret Service,3833,7.6,2015,7.7,766309.0,"('Comedy', 'Adventure', 'Crime', 'Action')",130.0,7.65,107212335.76,534476175.13,398.5211555566243,79.94067074478617,False,False,False,False,False,0
20000000.0,88346473.0,Spotlight,1559,7.8,2015,8.1,528225.0,"('History', 'Drama', 'Thriller', 'Biography', 'Crime')",128.0,7.949999999999999,26472181.67,116936194.16,341.7323650076023,77.36185801140493,True,False,False,False,True,1
61000000.0,311256926.0,Maze Runner: The Scorch Trials,1849,6.4,2015,6.3,300390.0,"('Science Fiction', 'Action', 'Thriller', 'Adventure')",132.0,6.35,80740154.09,411982494.55,410.2572557525324,80.40204252411482,False,False,False,False,False,0
,29355203.0,Mr. Holmes,425,6.4,2015,6.8,69906.0,"('Drama', 'Mystery', 'Crime', 'Family')",103.0,6.6,,38854813.34,,,False,False,False,False,False,0
49000000.0,102069268.0,Chappie,1990,6.6,2015,6.8,281225.0,"('Drama', 'Science Fiction', 'Crime', 'Action')",120.0,6.699999999999999,64856845.09,135099810.27,108.3046285747107,51.993385512250434,True,False,False,False,True,1
29000000.0,287506194.0,Pitch Perfect 2,1264,6.8,2015,6.4,177881.0,"('Comedy', 'Musical', 'Music')",115.0,6.6,38384663.42,380545809.93,891.4006689758281,89.91326079058372,False,False,False,False,False,0
40000000.0,162610473.0,Bridge of Spies,1638,7.1,2015,7.6,340997.0,"('Drama', 'History', 'Thriller')",141.0,7.35,52944363.34,215232699.13,306.52618249049664,75.40133838677471,False,False,False,False,False,0
58000000.0,150170815.0,Goosebumps,600,6.2,2015,6.3,101085.0,"('Comedy', 'Adventure', 'Horror', 'Fantasy')",103.0,6.25,76769326.84,198767454.81,158.91519828520094,61.37731556034508,False,False,False,False,False,0
6000000.0,35401758.0,Room,1520,8.0,2015,8.1,475020.0,"('Drama', 'Thriller')",117.0,8.05,7941654.5,46858088.46,490.02930006587417,83.0516891298728,True,False,False,False,True,1
,22354572.0,Solace,474,6.2,2015,6.4,73112.0,"('Drama', 'Mystery', 'Crime')",101.0,6.300000000000001,,29588714.56,,,False,True,False,False,True,1
175000000.0,331926147.0,The Good Dinosaur,1087,6.6,2015,6.7,137055.0,"('Family', 'Comedy', 'Adventure', 'Animation', 'Action', 'Fantasy')",93.0,6.65,231631589.61,439340463.21,89.6720839975761,47.27742855333527,False,False,True,False,True,1
50000000.0,71561644.0,Run All Night,814,6.3,2015,6.6,119105.0,"('Drama', 'Crime', 'Thriller', 'Mystery', 'Action')",114.0,6.449999999999999,66180454.17,94719642.03,43.1232880129387,30.130168620106218,False,False,False,False,False,0
11000000.0,62076141.0,Brooklyn,754,7.3,2015,7.5,157189.0,"('Drama', 'Romance')",111.0,7.4,14559699.92,82164544.09,464.32855444454793,82.27982631528772,False,False,False,False,False,0
28000000.0,201634991.0,Straight Outta Compton,918,7.7,2015,7.8,231355.0,"('Drama', 'Biography', 'Music', 'History')",147.0,7.75,37061054.34,266885905.63,620.124967793887,86.11352133694913,False,False,False,False,False,0
90000000.0,140396650.0,The Last Witch Hunter,879,5.6,2015,5.9,115335.0,"('Adventure', 'Action', 'Fantasy')",106.0,5.75,119124817.51,185830281.23,55.99627778183195,35.89590634985878,False,False,False,False,False,0
30000000.0,34441873.0,Steve Jobs,1035,6.9,2015,7.2,185564.0,"('History', 'Biography', 'Drama')",122.0,7.050000000000001,39708272.5,45587575.95,14.806243333804064,12.896723125722595,True,False,False,False,True,1
75000000.0,108145109.0,The Man from U.N.C.L.E.,1548,7.0,2015,7.2,352884.0,"('Comedy', 'Adventure', 'Action')",116.0,7.1,99270681.26,143141848.6,44.19347866173794,30.648736039866954,False,False,False,False,False,0
25000000.0,42629776.0,The Age of Adaline,1221,7.3,2015,7.2,224794.0,"('Drama', 'Romance', 'Fantasy')",112.0,7.25,33090227.09,56425158.74,70.51910398358044,41.35554453204893,False,True,False,False,True,1
10000000.0,14333790.0,Hardcore Henry,396,5.9,2015,6.7,107491.0,"('Adventure', 'Action', 'Science Fiction')",97.0,6.300000000000001,13236090.83,18972334.64,43.33790001651115,30.234780899900894,True,False,False,False,True,1
135000000.0,368871007.0,Home,1060,6.9,2015,6.5,119316.0,"('Science Fiction', 'Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy')",94.0,6.7,178687226.27,488241015.49,173.23778295839568,63.40184036143113,True,False,False,False,True,1
12000000.0,85512300.0,Paper Towns,1252,6.2,2015,6.2,111026.0,"('Romance', 'Drama', 'Comedy', 'Adventure', 'Mystery')",109.0,6.2,15883309.0,113184857.03,612.6025000835783,85.96693107471958,False,False,False,False,False,0
30000000.0,,Wild Card,481,5.3,2015,5.6,63615.0,"('Drama', 'Action', 'Crime', 'Thriller')",92.0,5.449999999999999,39708272.5,,,,False,False,False,False,False,0
4000000.0,9064511.0,The Lobster,638,6.6,2015,7.1,327068.0,"('Romance', 'Drama', 'Science Fiction', 'Thriller', 'Comedy')",118.0,6.85,5294436.33,11997869.1,126.6127752262534,55.87186119575184,True,False,False,False,True,1
11800000.0,40272135.0,Carol,562,7.1,2015,7.3,151336.0,"('Drama', 'Romance')",118.0,7.199999999999999,15618587.18,53304563.7,241.2892797900303,70.699343365979,True,False,False,False,True,1
35000000.0,194564672.0,The Intern,1255,7.1,2015,7.1,303069.0,"('Drama', 'Comedy')",121.0,7.1,46326317.92,257527567.18,455.8990628711723,82.0111227596772,False,False,False,False,False,0
55000000.0,203427584.0,Everest,1172,6.7,2015,7.1,244207.0,"('Drama', 'Adventure', 'Biography')",121.0,6.9,72798499.59,269258598.01,269.868334548734,72.96335191224001,False,False,False,False,False,0
60000000.0,101134059.0,Joy,1001,6.4,2015,6.6,151145.0,"('Drama', 'Comedy', 'Biography')",124.0,6.5,79416545.01,133861959.14,68.55676499543554,40.67280538831653,False,False,False,False,False,0
105000000.0,133718711.0,Point Break,505,5.5,2015,5.3,68565.0,"('Adventure', 'Action', 'Thriller', 'Crime')",114.0,5.4,138978953.76,176991300.51,27.351153337679296,21.476957703834888,False,False,False,False,False,0
20000000.0,36606743.0,Burnt,631,6.3,2015,6.6,140660.0,"('Drama', 'Comedy')",100.0,6.449999999999999,26472181.67,48453017.55,83.0337149918781,45.365256884810876,False,False,False,False,False,0
26000000.0,30523226.0,Self/less,719,6.2,2015,6.5,107025.0,"('Science Fiction', 'Mystery', 'Action', 'Thriller')",116.0,6.35,34413836.17,40400819.19,17.397023076488935,14.818964417142046,True,False,False,False,True,1
60000000.0,30418560.0,Mortdecai,696,5.3,2015,5.5,79323.0,"('Comedy', 'Adventure', 'Action')",106.0,5.4,79416545.01,40262282.32,-49.30240000376466,-97.24799597500812,False,False,False,False,False,0
15000000.0,64191523.0,The Danish Girl,867,7.3,2015,7.1,205198.0,"('Drama', 'Biography')",120.0,7.199999999999999,19854136.25,84964482.92,327.943486687818,76.63242855406529,True,False,False,False,True,1
70000000.0,17752940.0,Blackhat,584,5.0,2015,5.5,66871.0,"('Action', 'Drama', 'Thriller', 'Mystery', 'Crime')",133.0,5.25,92652635.84,23497952.64,-74.63865714454346,-294.30088765384454,False,False,False,False,False,0
30000000.0,84025816.0,Sicario,1479,7.1,2015,7.7,523700.0,"('Drama', 'Crime', 'Thriller', 'Mystery', 'Action')",121.0,7.4,39708272.5,111217333.3,180.08605335324017,64.29668710641528,False,False,False,False,False,0
120000001.0,167977596.0,Fantastic Four,1565,4.4,2015,4.3,190390.0,"('Adventure', 'Action', 'Science Fiction')",100.0,4.35,158833091.34,222336671.88,39.98132883031501,28.561901193822976,False,False,False,False,False,0
3500000.0,40423945.0,The Witch,700,5.8,2015,7.0,344224.0,"('Drama', 'Mystery', 'Horror', 'Fantasy')",92.0,6.4,4632631.79,53505500.79,1054.9698576411142,91.34176538561466,True,False,False,False,True,1
65000000.0,235666219.0,Spy,1840,6.9,2015,7.0,271470.0,"('Comedy', 'Action', 'Crime')",120.0,6.95,86034590.43,311929948.13,262.56341382108906,72.4186180436435,False,False,False,False,False,0
50100000.0,153962963.0,Focus,1831,6.7,2015,6.6,291616.0,"('Drama', 'Comedy', 'Romance', 'Crime')",105.0,6.65,66312815.08,203786776.34,207.31130339460174,67.45970652709919,False,False,False,False,False,0
35000000.0,82347656.0,Hitman: Agent 47,820,5.5,2015,5.7,100298.0,"('Adventure', 'Action', 'Thriller', 'Crime')",96.0,5.6,46326317.92,108996105.48,135.27901714145125,57.497272296118375,False,True,False,False,True,1
100000000.0,93820758.0,In the Heart of the Sea,805,6.4,2015,6.9,157246.0,"('History', 'Drama', 'Thriller', 'Adventure', 'Biography', 'Action')",122.0,6.65,132360908.35,124182007.51,-6.179241999739562,-6.5862205032732835,False,False,False,False,False,0
20000000.0,,Survivor,280,5.4,2015,5.7,36983.0,"('Action', 'Crime', 'Thriller')",96.0,5.550000000000001,26472181.67,,,,False,False,False,False,False,0
35000000.0,137935567.0,Creed,1171,7.3,2015,7.6,328849.0,"('Drama', 'Action', 'Sport')",133.0,7.449999999999999,46326317.92,182572769.41,294.1016200020068,74.62583381426072,False,False,False,False,False,0
35000000.0,140795793.0,Trainwreck,849,6.1,2015,6.2,146463.0,"('Drama', 'Comedy', 'Romance')",125.0,6.15,46326317.92,186358590.53,302.27369430011464,75.1413026959214,False,False,False,False,False,0
